,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win
148,11,0,3,0,1,0,4,0,2,0,35,12,13.875758303918339,True
149,11,3,4,0,2,0,3,2,2,0,52,22,10.300162725298392,True
150,2,11,0,3,0,1,2,2,0,2,13,21,-8.894909546943367,False
151,2,11,0,3,0,2,1,4,0,2,19,36,-5.781165438276254,False
152,5,2,0,0,1,0,3,0,1,1,22,16,5.721259141759489,True
153,11,1,3,0,1,0,3,0,2,0,27,11,9.8530113858138,True
154,3,5,0,0,0,1,0,4,1,1,9,19,-10.261319972104282,False
155,1,8,0,1,0,0,1,2,0,2,19,30,-8.125459222430585,False
156,0,7,0,0,0,1,0,3,0,2,16,42,-11.332189921375047,False
157,2,9,0,1,0,1,1,2,1,1,25,32,-4.73863770424358,False
158,1,10,0,1,0,1,0,3,0,2,13,36,-14.73191133879321,False
159,4,4,1,3,0,0,0,0,0,0,74,70,1.415576788056967,True
160,9,3,2,0,0,1,2,1,1,1,35,23,6.549098037421722,True
161,9,4,2,0,1,1,4,0,1,1,33,32,-0.2978878506809508,True
162,8,5,1,0,2,0,5,0,1,1,61,38,10.323370368516251,True
163,5,8,0,1,0,2,2,3,1,0,24,32,-5.404150220938966,False
164,3,9,0,1,0,1,2,1,2,0,15,32,-8.64808724927164,False
165,11,2,3,0,1,0,2,2,2,0,32,19,6.60327967890214,True
166,4,9,0,1,0,1,1,4,2,0,24,37,-4.9425932017478615,False
167,7,9,0,2,1,1,0,5,2,0,39,39,-3.3010674550275354,False
168,10,2,3,0,2,0,4,1,2,0,37,34,8.133576092824441,True
169,9,8,2,1,1,1,4,1,2,0,34,20,7.477348196659406,True
170,1,10,0,2,0,1,1,3,0,2,24,39,-7.522636226147846,False
171,8,0,1,0,1,0,3,0,2,0,42,12,16.37126389013869,True
172,10,3,2,0,0,1,1,2,0,2,29,27,3.465157767483589,True
173,10,3,2,0,1,0,3,1,2,0,34,20,7.617157130799754,True
174,5,2,0,0,0,0,3,0,2,0,28,11,11.68705554815692,True
175,6,9,0,1,0,2,2,2,1,1,35,48,-3.3742890962111147,False
176,6,8,1,1,1,1,2,3,0,2,39,53,-5.63653705728958,False
177,11,5,3,1,1,2,2,3,2,0,43,48,-1.9330580752469828,True
178,3,10,0,2,1,1,0,4,1,1,17,32,-8.892192384803579,False
179,2,4,1,2,0,0,0,0,0,0,60,63,-0.15769138818649253,False
180,1,9,0,2,0,1,1,2,0,2,22,37,-10.94370064880206,False
181,6,7,0,1,1,1,2,3,1,0,30,40,-5.7404734600867044,False
182,11,5,2,1,2,0,4,0,2,0,27,16,7.168010208365331,True
183,2,11,0,3,0,1,1,2,1,1,10,33,-16.536365907543413,False
184,8,5,1,0,1,0,1,1,2,0,32,21,6.685259835397943,True
185,10,1,3,0,1,0,2,1,2,0,31,11,13.685295482587108,True
186,10,1,2,0,1,0,2,1,2,0,37,16,8.235695943006078,True
187,11,2,5,0,2,0,1,4,0,2,29,32,-7.134956226757616,True
