,Unnamed: 0,ally_tower_kills,enemy_tower_kills,ally_inhibitor_kills,enemy_inhibitor_kills,ally_baron_kills,enemy_baron_kills,ally_dragon_kills,enemy_dragon_kills,ally_rift_kills,enemy_rift_kills,ally_kills,enemy_kills,score_diff,win,elo
68,68,2,11,0,3,0,1,1,3,1,1,28,45,-5.537536523667846,False,grandmaster
69,69,3,7,0,2,0,1,1,2,0,2,27,54,-10.43726860627391,False,grandmaster
70,70,8,7,1,1,1,2,0,5,2,0,48,36,1.956000836692816,True,grandmaster
71,71,2,8,0,1,0,1,0,4,2,0,19,37,-6.629521960274182,False,grandmaster
72,72,6,10,1,3,1,1,2,4,1,1,56,55,-0.6229809517844416,True,grandmaster
73,73,8,2,1,0,1,0,2,2,2,0,33,29,0.7690142740128891,True,grandmaster
74,74,7,1,1,0,1,0,2,1,1,1,22,16,9.752605864695788,True,grandmaster
75,75,4,5,0,0,1,0,2,1,2,0,22,16,2.9833480565435906,True,grandmaster
76,76,3,8,0,1,0,0,1,2,0,2,39,41,-2.476495221237805,False,grandmaster
77,77,10,10,2,2,1,1,0,4,0,2,22,36,-7.114394012082215,False,grandmaster
78,78,11,2,2,0,1,0,2,1,1,1,23,15,4.927925302481143,True,grandmaster
79,79,4,11,0,3,0,2,1,2,2,0,22,32,-7.647417027117108,False,grandmaster
80,80,9,3,2,0,1,0,2,2,1,1,33,35,0.5852198472022181,True,grandmaster
81,81,3,8,0,1,0,2,0,4,1,1,20,39,-12.139170881288692,False,grandmaster
82,82,3,10,0,2,1,1,1,4,0,2,36,48,-3.96749919250599,False,grandmaster
83,83,3,9,0,1,0,1,2,2,2,0,13,31,-8.075984977718143,False,grandmaster
84,84,2,11,0,4,0,2,2,3,0,2,17,35,-7.127161141037064,False,grandmaster
85,85,8,2,1,0,2,0,4,1,0,2,41,33,3.78539342629918,True,grandmaster
86,86,3,11,0,2,0,2,3,2,0,2,43,42,5.2972743344348885,False,grandmaster
87,87,5,5,1,0,0,1,2,1,1,1,32,28,3.794162549613489,True,grandmaster
88,88,10,2,2,0,1,0,3,1,2,0,38,19,11.972084580184326,True,grandmaster
89,89,7,7,1,0,2,1,3,3,1,1,22,35,-3.2811355684864267,True,grandmaster
90,90,9,2,1,0,1,0,4,0,2,0,30,13,9.1052923169919,True,grandmaster
91,91,5,8,0,1,1,2,4,1,0,2,39,31,2.806458759709514,False,grandmaster
92,92,11,1,3,0,1,0,2,2,0,2,26,15,9.847667930429663,True,grandmaster
93,93,9,1,2,0,1,0,3,1,2,0,26,21,0.7921588230770453,True,grandmaster
94,94,10,1,2,0,1,0,2,1,1,1,38,17,8.288733428661622,True,grandmaster
95,95,1,10,0,1,0,1,2,1,0,2,22,29,-3.098174727953364,False,grandmaster
96,96,8,0,1,0,1,0,4,0,2,0,25,14,9.778552983198956,True,grandmaster
97,97,4,8,0,0,1,1,1,2,1,1,29,48,-7.054919516610987,False,grandmaster
98,98,10,4,3,0,1,0,3,1,1,0,40,25,5.283496497804109,True,grandmaster
99,99,11,0,3,0,1,0,2,0,2,0,24,10,8.368057486813747,True,grandmaster
100,100,11,5,3,0,1,0,1,2,1,1,32,34,2.6779109652784783,True,grandmaster
101,101,2,9,0,2,0,1,2,2,0,2,17,35,-10.306936137316931,False,grandmaster
102,102,6,3,1,0,1,1,3,1,2,0,32,34,0.2672831950443921,True,grandmaster
103,103,0,11,0,3,0,1,0,4,0,2,14,30,-11.502564935866616,False,grandmaster
104,104,10,3,2,0,2,0,1,4,1,1,53,33,6.473643109098404,True,grandmaster
105,105,10,3,4,0,3,0,3,3,0,2,35,38,0.5635843337233126,True,grandmaster
106,106,2,11,0,1,0,1,2,1,2,0,18,31,-4.243960747018278,False,grandmaster
107,107,9,3,2,0,1,0,3,1,2,0,39,25,4.878542132918447,True,grandmaster
108,108,10,3,2,0,1,0,2,1,2,0,39,23,7.080683755061862,True,grandmaster
109,109,6,9,0,2,1,0,1,2,1,0,28,38,-4.088171132103561,False,grandmaster
110,110,4,7,0,1,0,1,1,2,1,1,18,31,-7.671410351600514,False,grandmaster
111,111,1,9,0,1,0,1,0,3,1,1,14,31,-4.928422447216263,False,grandmaster
112,112,10,2,1,0,1,0,2,1,1,1,34,21,3.685174639800266,True,grandmaster
113,113,9,3,1,0,1,0,3,1,1,1,27,18,8.47921301311861,True,grandmaster
114,114,0,8,0,1,0,1,2,2,0,2,18,39,-9.344060196484088,False,grandmaster
115,115,1,10,0,2,0,1,0,3,0,2,18,33,-8.588053399223647,False,grandmaster
116,116,3,9,0,1,0,1,1,1,0,2,26,31,-3.145101264799024,False,grandmaster
117,117,7,8,1,1,2,0,0,5,0,2,37,43,-2.5298063860627664,False,grandmaster
118,118,4,8,0,1,1,0,0,3,2,0,25,36,-1.0706717953365157,False,grandmaster
119,119,8,4,1,0,1,0,3,1,2,0,48,24,9.300287330391184,True,grandmaster
